"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","I(pos^2)","pos","CumPres"
"preserved ~ stimlen + I(pos^2) + pos",5444.03618010521,0,1,0.999940844831765,0.037778393104173,1.70198555916443,-0.18320948970644,0.0272494310477203,-0.255355693102808,NA
"preserved ~ stimlen + pos",5462.02542417645,0,1,0.677141344579417,0.0321420402349111,1.22533908745637,-0.168107478560123,NA,-0.0242364964297744,NA
"preserved ~ stimlen",5463.50675498396,19.4705748787528,5.91586677758905e-05,5.91551682349456e-05,0.0313709764055795,1.22461653034932,-0.180110093592961,NA,NA,NA
"preserved ~ stimlen",5463.50675498396,0,1,0.681212727007766,0.0313709764055795,1.22461653034932,-0.180110093592961,NA,NA,NA
"preserved ~ stimlen",5463.50675498396,1.48133080751359,0.476796547729799,0.32285865542058,0.0313709764055795,1.22461653034932,-0.180110093592961,NA,NA,NA
"preserved ~ stimlen + CumPres",5465.02545619859,1.51870121463526,0.467970224796754,0.318787272992234,0.0313959619093751,1.22165699726785,-0.180935020797493,NA,NA,0.00731046903389948
"preserved ~ I(pos^2) + pos",5521.56900711193,77.5328270067212,1.45868169259575e-17,1.45859540403482e-17,0.0113682444252671,0.357433258578581,NA,0.0171108695842291,-0.222521528033677,NA
"preserved ~ pos",5528.48711930375,66.4616951273074,3.69850554483679e-15,2.50441101756522e-15,0.00899740530304471,0.120997519779023,NA,NA,-0.0746981849926987,NA
"preserved ~ CumPres",5559.27425883775,95.7675038537855,1.60085046072441e-21,1.09051970788171e-21,0.000538840723795404,-0.125131607270339,NA,NA,NA,-0.0328122500734125
