"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","stimlen","log_freq","stimlen:log_freq","pos","pos:log_freq","log_freq:pos","I(pos^2)","I(pos^2):log_freq","log_freq:I(pos^2)","stimlen:pos","stimlen:I(pos^2)"
"preserved ~ stimlen * (I(pos^2) + pos)",1231.28508373378,0,1,0.200330127410723,0.117654975469428,2.27419756932902,0.0414512689709654,NA,NA,-0.497365030700915,NA,NA,0.0927481418773181,NA,NA,-0.0294052527588416,-0.00481795096973793
"preserved ~ stimlen + pos",1231.79955634278,0.514472609004997,0.773185484965117,0.154892346715183,0.110930085881251,2.60572812637039,-0.093428557661862,NA,NA,-0.289177324466734,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos",1232.37998746806,1.09490373428116,0.578421829804603,0.1158753188619,0.112467572010626,2.93467599081085,-0.106788758882886,NA,NA,-0.442591993053223,NA,NA,0.019287434099759,NA,NA,NA,NA
"preserved ~ stimlen + pos + log_freq",1232.50664774804,1.22156401425991,0.542926130916595,0.108764460981132,0.115165916443324,2.4420120228945,-0.0677693478184265,0.0873262752416721,NA,-0.290201490251995,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + I(pos^2) + pos + log_freq",1233.07773010878,1.79264637500273,0.408067291715881,0.081748172541591,0.116713436865224,2.77273629051084,-0.0811750146119923,0.0874553771973339,NA,-0.444585088609611,NA,NA,0.0194115865084303,NA,NA,NA,NA
"preserved ~ stimlen * pos",1233.15806413376,1.87298039997791,0.392001269769524,0.0785296643180938,0.111504655221726,2.20778064629962,-0.0390773886305494,NA,NA,-0.167357781084939,NA,NA,NA,NA,NA,-0.0159321224281895,NA
"preserved ~ stimlen * log_freq + pos",1234.24006379462,2.95498006084495,0.228209769709376,0.0457172922422511,0.11545376884355,2.45746953455231,-0.0716198286706101,0.177951867224066,-0.0132270630663745,-0.289745098614774,NA,NA,NA,NA,NA,NA,NA
"preserved ~ pos + log_freq",1234.32915994551,3.044076211733,0.218266582914874,0.0437253723648399,0.112915096112174,2.07451564380456,NA,0.104708304579867,NA,-0.315313062490766,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + pos * log_freq",1234.34162744186,3.05654370807633,0.216910196082049,0.0434536472178018,0.115489830587829,2.44802439113059,-0.0667097053016888,0.133341726013526,NA,-0.29476140398383,-0.0124334075053286,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + I(pos^2) + pos",1234.88091494699,3.5958312132127,0.16564379546849,0.0331834426509983,0.116925286526753,2.77823107010813,-0.084156464572858,0.165524698339191,-0.0113621788599899,-0.440562888773748,NA,NA,0.0189507131812205,NA,NA,NA,NA
"preserved ~ pos",1235.89385724211,4.60877350832811,0.099819996084722,0.0199969525337902,0.106291333781906,2.10686945093614,NA,NA,NA,-0.326405938788654,NA,NA,NA,NA,NA,NA,NA
"preserved ~ pos * log_freq",1236.08509355005,4.80000981627177,0.0907175080344633,0.0181734499429273,0.11331204938869,2.08772851847772,NA,0.155532800270785,NA,-0.319959310501885,-0.0137704826678649,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + (I(pos^2) + pos) * log_freq",1236.09343882039,4.80835508661494,0.0903397656084954,0.0180977767546047,0.119514365044638,2.68200934729088,-0.0772226924032825,-0.0955496768146145,NA,-0.392236052197539,0.123411516897824,NA,0.0113346953201949,-0.0159097755327534,NA,NA,NA
"preserved ~ stimlen * log_freq + pos * log_freq",1236.20730521341,4.92222147963162,0.0853401076484965,0.0170961946384681,0.115589571061791,2.45697518228106,-0.069612631804804,0.180174822917239,-0.00867967822507646,-0.293185643267293,NA,-0.00900818484897283,NA,NA,NA,NA,NA
"preserved ~ I(pos^2) + pos",1237.59300206119,6.30791832741488,0.0426828036918246,0.0085506515018301,0.106764433557956,2.24536794575267,NA,NA,NA,-0.411705660469677,NA,NA,0.0103572285385885,NA,NA,NA,NA
"preserved ~ stimlen * log_freq + (I(pos^2) + pos) * log_freq",1238.10703618774,6.82195245396247,0.0330089604039134,0.00661268924341147,0.119516379055788,2.68005955237282,-0.0767820673115933,-0.103670962398323,0.00127517911250903,-0.39206777065029,NA,0.123711003915495,0.0112767441711482,NA,-0.0160102565469203,NA,NA
"preserved ~ (I(pos^2) + pos) * log_freq",1238.56763152772,7.28254779393842,0.026218922476562,0.00525244008030153,0.116789602569982,2.17952188268656,NA,-0.0735346591204837,NA,-0.367977855070206,0.125142443526296,NA,0.00471820004038734,-0.0164905168315942,NA,NA,NA
"preserved ~ stimlen",1288.44285457794,57.157770844163,3.87567866506222e-13,7.76415200774934e-14,0.0447413635459049,2.57907414614579,-0.240189601256558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen + log_freq",1289.24990954073,57.9648258069499,2.58879704246757e-13,5.18614041358031e-14,0.048946389092803,2.42296679525142,-0.216245635039869,0.0828236950920288,NA,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ stimlen * log_freq",1290.88364850272,59.598564768939,1.14376313815499e-13,2.29130215194278e-14,0.049362102211888,2.44098027282707,-0.22040390686634,0.186504844581332,-0.0150144615210292,NA,NA,NA,NA,NA,NA,NA,NA
"preserved ~ 1",1329.98045042554,98.695366691758,3.70316811282679e-22,7.41856139865917e-23,-3.34361308712983e-16,0.948695282828906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
